Fiscal year,Proc Categ,Major Sector,Proc Type,Proc Meth,Proj Name,Proj ID,Len Instr Type,Lending Instr,Contract,Bor Ctr Ref #,#  Addendums,Ctr Awd Date,Supplier,Supp Ctry,Amount
1995,Consultant Services,Transportation,Implementation Activity,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTING SERVICES - ROADS,4-17-95,2,3/29/1995,SCOTT WILSON KIRKPATRICK/TRL,United Kingdom,"1,241,276"
1995,Consultant Services,Industry and trade,Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTANTS SERVICES - RAILWAY,NA,#,4/5/1995,TRANSURB CONSULT,Belgium,"49,597"
1995,Consultant Services,Industry and trade,Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTING SERVICES - URBAN/FREIGHT,NA,#,4/5/1995,CIE CONSULT,Ireland,"113,400"
1995,Consultant Services,Industry and trade,Operational Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,IMPLEMENTATION ADVISOR,NA,#,2/3/1995,WILFRED J. MCKIE,United Kingdom,"50,400"
1995,Consultant Services,Industry and trade,Consultanting Other Combination,Quality And Cost-Based Selection,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,"ENVIRONMENTAL AUDIT BY STEFFEN, ROBERTSON & KIRSTEN (U.K.)",UNKNOWN,#,5/8/1995,"STEFFEN, ROBERTSON & KIRSTEN (",United Kingdom,"29,729"
1995,Consultant Services,Industry and trade,Implementation Activity,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CONSULTING SERVICES - ROADS,4-17-95,2,3/29/1995,SCOTT WILSON KIRKPATRICK/TRL,United Kingdom,"126,949"
1995,Goods,"Public admin, Law","Equipment, Energy Exploration, Productio",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR DRILLING RIG,MOG/93/0022,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"3,116"
1995,Goods,"Public admin, Law",Equipment Information Technology,International Shopping,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,MICROCOMPUTER & ACCESSORIES,C2615-MOG/MTI-9505,#,3/29/1995,ANGELIQUE INTERNATIONAL,India,"5,203"
1995,Goods,"Public admin, Law","Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0015,#,10/20/1994,AO BITOTECH,Russian Federat,"42,307"
1995,Goods,"Public admin, Law","Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0020,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"54,400"
1995,Goods,"Public admin, Law","Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0021,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"20,885"
1995,Goods,"Public admin, Law","Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,COAL LOADOUT PARTS FOR MINES,MOG/93/0023,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"15,730"
1995,Goods,"Public admin, Law","Equipment, Transportation",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR TRACTOR,MOG/93/0016,#,10/20/1994,"VENTART, TALLINN, ESTONIA",Estonia,"32,009"
1995,Goods,"Public admin, Law","Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LOCOMOTIVE SPARE PARTS,643..500001-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"9,315"
1995,Goods,"Public admin, Law","Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,PASSENGER CAR SPARE PARTS,643..500014-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"1,730"
1995,Goods,"Public admin, Law","Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,TRUCK SPARE PARTS,643..500002-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"1,866"
1995,Goods,"Public admin, Law","Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,9 TROLLEYBUSES TYPE ZUI,MOG/MTI-9402-A2,#,2/1/1995,MARUBENI CORPORATION,Germany,"29,554"
1995,Goods,"Public admin, Law","Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,44 MODEL B732.1654.1/R BUSES,C2615MOG/MTI/9401,#,6/15/1995,MARUBENI/KAROSA,Czechoslovakia,"120,000"
1995,Goods,Energy & mining,"Equipment, Energy Exploration, Productio",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR DRILLING RIG,MOG/93/0022,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"9,347"
1995,Goods,Energy & mining,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0015,#,10/20/1994,AO BITOTECH,Russian Federat,"126,922"
1995,Goods,Energy & mining,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0020,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"163,200"
1995,Goods,Energy & mining,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0021,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"62,656"
1995,Goods,Energy & mining,"Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,COAL LOADOUT PARTS FOR MINES,MOG/93/0023,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"47,190"
1995,Goods,Energy & mining,"Equipment, Transportation",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR TRACTOR,MOG/93/0016,#,10/20/1994,"VENTART, TALLINN, ESTONIA",Estonia,"96,028"
1995,Goods,Transportation,Equipment Information Technology,International Shopping,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,MICROCOMPUTER & ACCESSORIES,C2615-MOG/MTI-9505,#,3/29/1995,ANGELIQUE INTERNATIONAL,India,"152,608"
1995,Goods,Transportation,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LOCOMOTIVE SPARE PARTS,643..500001-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"273,234"
1995,Goods,Transportation,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,PASSENGER CAR SPARE PARTS,643..500014-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"50,757"
1995,Goods,Transportation,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,TRUCK SPARE PARTS,643..500002-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"54,747"
1995,Goods,Transportation,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,9 TROLLEYBUSES TYPE ZUI,MOG/MTI-9402-A2,#,2/1/1995,MARUBENI CORPORATION,Germany,"866,912"
1995,Goods,Transportation,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,44 MODEL B732.1654.1/R BUSES,C2615MOG/MTI/9401,#,6/15/1995,MARUBENI/KAROSA,Czechoslovakia,"3,520,000"
1995,Goods,Industry and trade,"Equipment, Energy Exploration, Productio",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR DRILLING RIG,MOG/93/0022,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"3,116"
1995,Goods,Industry and trade,Equipment Information Technology,International Shopping,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,MICROCOMPUTER & ACCESSORIES,C2615-MOG/MTI-9505,#,3/29/1995,ANGELIQUE INTERNATIONAL,India,"15,608"
1995,Goods,Industry and trade,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0015,#,10/20/1994,AO BITOTECH,Russian Federat,"42,307"
1995,Goods,Industry and trade,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0020,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"54,400"
1995,Goods,Industry and trade,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS,MOG/93/0021,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"20,885"
1995,Goods,Industry and trade,"Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,COAL LOADOUT PARTS FOR MINES,MOG/93/0023,#,10/20/1994,"A/S VENTART, TALINN, ESTONIA",Estonia,"15,730"
1995,Goods,Industry and trade,"Equipment, Transportation",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR TRACTOR,MOG/93/0016,#,10/20/1994,"VENTART, TALLINN, ESTONIA",Estonia,"32,009"
1995,Goods,Industry and trade,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LOCOMOTIVE SPARE PARTS,643..500001-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"27,944"
1995,Goods,Industry and trade,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,PASSENGER CAR SPARE PARTS,643..500014-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"5,191"
1995,Goods,Industry and trade,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,TRUCK SPARE PARTS,643..500002-496,#,4/27/1995,ZHELDORIMPEX,Russian Federat,"5,599"
1995,Goods,Industry and trade,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,9 TROLLEYBUSES TYPE ZUI,MOG/MTI-9402-A2,#,2/1/1995,MARUBENI CORPORATION,Germany,"88,661"
1995,Goods,Industry and trade,"Equipment, Transportation",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,44 MODEL B732.1654.1/R BUSES,C2615MOG/MTI/9401,#,6/15/1995,MARUBENI/KAROSA,Czechoslovakia,"360,000"
1996,Consultant Services,"Public admin, Law",Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SECTOR POLICY ADVISOR,C-2615/MONGOLIA,2,1/17/1996,BCEOM,Bangladesh,"9,331"
1996,Consultant Services,"Public admin, Law",Training,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,ACCOUNTING SEMINARS FOR ACCOUNTANTS AND ACCOUNTING FACULTIES,UNKNOWN,#,8/4/1995,MACARIO G. SEVILLA,Philippines,"13,429"
1996,Consultant Services,Transportation,Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SECTOR POLICY ADVISOR,C-2615/MONGOLIA,2,1/17/1996,BCEOM,Bangladesh,"273,703"
1996,Consultant Services,Industry and trade,Instutional/Management Assistance,Quality And Cost-Based Selection,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SECTOR POLICY ADVISOR,C-2615/MONGOLIA,2,1/17/1996,BCEOM,Bangladesh,"27,992"
1996,Goods,"Public admin, Law","Equipment, Industrial Plants",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LABORATORY EQUIPMENT,NA,#,4/2/1996,"JOH, GRAM-HANSEN PRODUCTS LTD.",Denmark,"12,887"
1996,Goods,"Public admin, Law","Equipment, Industrial Plants",International Shopping,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SPARE PARTS FOR KAROSA BUSES,C2615MOG/MTI-9508,#,12/7/1995,ERDENET SAMSUNG J.V. CO.,Mongolia,"38,989"
1996,Goods,"Public admin, Law","Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS - COAL MINES,"2551MOG/93/0023 DTD. JULY 10, 19",#,7/6/1995,AO BITOTECH,Russian Federat,"68,126"
1996,Goods,"Public admin, Law","Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EKG-81 - THIMBLE TOOTHS (FOR COAL MINES),25510 MOG-93-0026,#,4/1/1996,AO BITOTECH,Russian Federat,"21,000"
1996,Goods,"Public admin, Law","Equipment, Mechanical",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CARGO/PASSENGER WAGON WHEEL SETS,643..07/616-496,#,5/24/1996,ZHELDORSNAB,Russian Federat,"1,914"
1996,Goods,"Public admin, Law","Equipment, Mechanical",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"STEEL PLATES, ETC.",C-2615MOG/MTI/9501,2,10/12/1995,ANGELIQUE INTERNATIONAL,India,"16,958"
1996,Goods,"Public admin, Law","Equipment, Mechanical",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"BITUMEN TRAILERS, LOADERS, COMPACTORS",MOG/MTI-9503,#,4/2/1996,BAKER STREET TRADING OVERSEAS,United Kingdom,"21,733"
1996,Goods,"Public admin, Law","Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR DUMP TRUCKS - COAL MINING,C-2551-MOG-95/0024,#,12/26/1995,NORTH HAULER CO. LTD.,China,"72,128"
1996,Goods,"Public admin, Law","Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR COAL MINES - INDUSTRIAL EXPLOSIVES,25510 MOG-93-0025,#,4/1/1996,AO BITOTECH,Russian Federat,"91,250"
1996,Goods,"Public admin, Law","Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LOCOMOTIVE SPARE PARTS,002/95-1,#,10/17/1995,LOCOMOTIVE REPAIRING PLANT,Ukraine,83
1996,Goods,"Public admin, Law","Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,95 PASSENGER COACH WHEEL SETS,643..003/5030-496,#,10/17/1995,ZHELDORSNAB,Russian Federat,"5,130"
1996,Goods,Energy & mining,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS - COAL MINES,"2551MOG/93/0023 DTD. JULY 10, 19",#,7/6/1995,AO BITOTECH,Russian Federat,"204,377"
1996,Goods,Energy & mining,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EKG-81 - THIMBLE TOOTHS (FOR COAL MINES),25510 MOG-93-0026,#,4/1/1996,AO BITOTECH,Russian Federat,"63,000"
1996,Goods,Energy & mining,"Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR DUMP TRUCKS - COAL MINING,C-2551-MOG-95/0024,#,12/26/1995,NORTH HAULER CO. LTD.,China,"216,384"
1996,Goods,Energy & mining,"Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR COAL MINES - INDUSTRIAL EXPLOSIVES,25510 MOG-93-0025,#,4/1/1996,AO BITOTECH,Russian Federat,"273,751"
1996,Goods,Transportation,"Equipment, Industrial Plants",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LABORATORY EQUIPMENT,NA,#,4/2/1996,"JOH, GRAM-HANSEN PRODUCTS LTD.",Denmark,"378,015"
1996,Goods,Transportation,"Equipment, Industrial Plants",International Shopping,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SPARE PARTS FOR KAROSA BUSES,C2615MOG/MTI-9508,#,12/7/1995,ERDENET SAMSUNG J.V. CO.,Mongolia,"1,143,688"
1996,Goods,Transportation,"Equipment, Mechanical",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CARGO/PASSENGER WAGON WHEEL SETS,643..07/616-496,#,5/24/1996,ZHELDORSNAB,Russian Federat,"56,144"
1996,Goods,Transportation,"Equipment, Mechanical",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"STEEL PLATES, ETC.",C-2615MOG/MTI/9501,2,10/12/1995,ANGELIQUE INTERNATIONAL,India,"497,449"
1996,Goods,Transportation,"Equipment, Mechanical",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"BITUMEN TRAILERS, LOADERS, COMPACTORS",MOG/MTI-9503,#,4/2/1996,BAKER STREET TRADING OVERSEAS,United Kingdom,"637,503"
1996,Goods,Transportation,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LOCOMOTIVE SPARE PARTS,002/95-1,#,10/17/1995,LOCOMOTIVE REPAIRING PLANT,Ukraine,"2,442"
1996,Goods,Transportation,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,95 PASSENGER COACH WHEEL SETS,643..003/5030-496,#,10/17/1995,ZHELDORSNAB,Russian Federat,"150,480"
1996,Goods,Industry and trade,"Equipment, Industrial Plants",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LABORATORY EQUIPMENT,NA,#,4/2/1996,"JOH, GRAM-HANSEN PRODUCTS LTD.",Denmark,"38,661"
1996,Goods,Industry and trade,"Equipment, Industrial Plants",International Shopping,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,SPARE PARTS FOR KAROSA BUSES,C2615MOG/MTI-9508,#,12/7/1995,ERDENET SAMSUNG J.V. CO.,Mongolia,"116,968"
1996,Goods,Industry and trade,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EXCAVATORS - COAL MINES,"2551MOG/93/0023 DTD. JULY 10, 19",#,7/6/1995,AO BITOTECH,Russian Federat,"68,126"
1996,Goods,Industry and trade,"Equipment, Mechanical",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR EKG-81 - THIMBLE TOOTHS (FOR COAL MINES),25510 MOG-93-0026,#,4/1/1996,AO BITOTECH,Russian Federat,"21,000"
1996,Goods,Industry and trade,"Equipment, Mechanical",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,CARGO/PASSENGER WAGON WHEEL SETS,643..07/616-496,#,5/24/1996,ZHELDORSNAB,Russian Federat,"5,742"
1996,Goods,Industry and trade,"Equipment, Mechanical",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"STEEL PLATES, ETC.",C-2615MOG/MTI/9501,2,10/12/1995,ANGELIQUE INTERNATIONAL,India,"50,875"
1996,Goods,Industry and trade,"Equipment, Mechanical",International Competitive Bidding,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,"BITUMEN TRAILERS, LOADERS, COMPACTORS",MOG/MTI-9503,#,4/2/1996,BAKER STREET TRADING OVERSEAS,United Kingdom,"65,199"
1996,Goods,Industry and trade,"Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR DUMP TRUCKS - COAL MINING,C-2551-MOG-95/0024,#,12/26/1995,NORTH HAULER CO. LTD.,China,"72,128"
1996,Goods,Industry and trade,"Equipment, Mining",Direct Contracting,ECON. TRANS. SUP.CRE,P004341,ADJUSTMENT,REHABILITATION LN,SPARE PARTS FOR COAL MINES - INDUSTRIAL EXPLOSIVES,25510 MOG-93-0025,#,4/1/1996,AO BITOTECH,Russian Federat,"91,250"
1996,Goods,Industry and trade,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,LOCOMOTIVE SPARE PARTS,002/95-1,#,10/17/1995,LOCOMOTIVE REPAIRING PLANT,Ukraine,250
1996,Goods,Industry and trade,"Equipment, Transportation",Direct Contracting,MN-Transport Rehab.,P004342,INVESTMENT,SPECIFIC INVEST LN,95 PASSENGER COACH WHEEL SETS,643..003/5030-496,#,10/17/1995,ZHELDORSNAB,Russian Federat,"15,390"
1997,Consultant Services,"Public admin, Law",Consultanting Other Combination,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,TECHNICAL ADVISORY SERVICES FOR INVESTORY CONFERENCE IN MNG,UNKNOWN,#,9/10/1996,HARMS & BRADY GEOLOGICAL CONS,United States,"55,000"
1997,Consultant Services,"Public admin, Law",Consultanting Other Combination,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,ADVISORY SERVICES FOR INVESTMENT CONFERENCE RE GOVT. OF MNG,UNKNOWN,#,9/16/1996,MR. ELLIOT HURWITZ,United States,"42,100"
1997,Consultant Services,"Public admin, Law",Consultanting Other Combination,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,ADVISORY SERVICES FOR INVESTOR CONFERENCE IN MONGOLIA,UNKNOWN,#,9/10/1996,MR. FRED BARNARD,United States,"31,675"
1997,Consultant Services,"Public admin, Law",Consultanting Other Combination,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,TECH.ADVICE=MIN. OF FIN;ADVISORY SCVS=SOCIAL SECTOR PRIVATIZ,UNKNOWN,#,9/26/1996,MS. SARITA MATHUR,United States,"15,350"
1997,Consultant Services,"Public admin, Law",Consultanting Other Combination,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,TECH.ASSTNCE:MIN. OF FIN.ADVISORY SVCS:SOCIAL SECTOR PRIVAT,UNKNOWN,#,9/26/1996,MR. GERVER TORRES,United States,"13,125"
1997,Consultant Services,"Public admin, Law",Consultanting Other Combination,Quality And Cost-Based Selection,TA PROJECT,P004339,INVESTMENT,TECHNICAL ASSIST LN,ADVISORY SERVICES RE INVESTMENT PROMOTION: CONFERENCE IN MNG,UNKNOWN,#,9/6/1996,"MR, CHARLES KRUSEKOPF",United States,"13,000"
